	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-DK-AA6T-01A	6.726066605	9.527477006	4.735357195	1.957722262	13.16354115	8.523315578	6.895939218	5.909414065	7.819992034	12.04344713
TCGA-DK-AA6U-01A	5.613452223	5.906890596	3.76296985	2.711031289	4.58357405	7.442177826	5.719416804	7.992503075	7.729343956	10.71574389
TCGA-DK-AA6W-01A	6.380763869	3.906890596	4.474546704	1.461031289	5.137898257	8.969989595	7.867281028	5.745290573	7.477217283	11.8385579
TCGA-DK-AA6X-01A	6.149665652	6.781359714	3.6387014	2.052231564	7.233598536	9.002169659	6.897783853	7.605498526	8.205496577	12.31696261
TCGA-DK-AA71-01A	5.341154829	4.459431619	3.317011241	1.761594643	2.79111942	6.993496816	4.029492045	6.778307143	7.398857628	11.9027056
TCGA-DK-AA74-01A	7.104408553	7.820178962	5.207710569	2.8392983	4.851606125	9.995234938	7.312071646	6.580991478	8.245952355	14.53513912
TCGA-DK-AA75-01A	3.552418049	2.584962501	2.03840491	0.323120313	2.624435013	5.686601112	3.74958448	6.350998165	7.167390463	9.461484891
TCGA-DK-AA76-01A	3.753071281	3.807354922	1.968179331	1.169694001	2.611324599	5.613590081	3.478474385	6.156764807	7.720374803	9.710459535
TCGA-DK-AA77-01A	6.737486756	6.781359714	4.97220361	2.358903933	3.618204769	8.078615107	4.298332706	6.406557048	8.135867369	10.13819749
TCGA-DM-A0X9-01A	7.179190571	7.098032083	4.996850489	2.716908141	5.346527514	7.986065441	5.958237151	6.91629685	8.453468098	12.68011382
TCGA-DM-A0XD-01A	4.951998585	6.303780748	3.700288979	2.106212288	5.332986835	7.596995098	3.280382519	6.433481674	7.803598484	13.10023522
TCGA-DM-A0XF-01A	6.399645096	5.700439718	4.119652266	3.009043403	3.109921544	8.601538451	4.893327878	6.132575589	7.618584122	13.34225049
TCGA-DM-A1D0-01A	3.799763865	5.491853096	2.34095298	1.06347433	3.297690427	7.378364516	3.393991797	6.236378097	7.78234048	10.75957201
TCGA-DM-A1D4-01A	6.415205948	5.459431619	4.036970534	3.178332011	4.289382172	7.026867082	5.012150283	6.105704574	7.201565022	10.34757434
TCGA-DM-A1D6-01A	4.42132517	7.285402219	3.122672792	1.255549265	5.495059486	7.364492938	3.603790894	5.893008637	7.943773261	11.61496372
TCGA-DM-A1D7-01A	6.374223299	4.321928095	4.18133331	2.22172289	4.953343501	8.052732762	5.102132417	5.985890542	8.491616783	12.28944491
TCGA-DM-A1D8-01A	6.390065262	6.50779464	4.969335474	3.427996944	3.510696052	7.129938864	4.78578305	6.081693901	7.82277503	12.37855786
TCGA-DM-A1D9-01A	5.426690671	4.523561956	4.169520893	1.437605235	5.163274716	7.932094955	5.399218687	5.976008297	7.965606351	12.55320656
