	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
TCGA-13-0906-01A	0.001184862	0.008074863	0.196402102	0.013966099	0.017030897	0.000177927	7.26E-10	0.763163248
TCGA-13-0908-01B	6.23E-05	0.009435604	0.217444519	0.011908695	0.053147609	0.000170958	9.72E-10	0.707830364
TCGA-13-0911-01A	0.002577922	0.008657805	0.119891562	0.039823772	0.071313473	1.31E-05	4.58E-09	0.757722324
TCGA-13-0913-02A	0.004271867	0.045342922	0.04548993	0.013220984	0.044251772	7.61E-05	5.33E-08	0.847346355
TCGA-13-0916-01A	2.07E-05	0.013874871	0.292323317	0.019910953	0.041596197	4.60E-06	3.74E-10	0.632269319
TCGA-13-0920-01A	0.000873541	0.01133821	0.210893534	0.048679671	0.023468026	0.000167022	4.62E-09	0.704579992
TCGA-13-0923-01A	4.24E-06	0.006219633	0.174215053	0.014024102	0.022152145	0.000272835	1.09E-09	0.783111991
TCGA-13-0924-01A	2.07E-06	0.013743396	0.184056878	0.020510177	0.114476772	3.89E-07	1.51E-05	0.667195231
TCGA-13-1403-01A	0.000331423	0.006099651	0.16268237	0.007943185	0.031763237	0.000143782	1.61E-09	0.79103635
TCGA-13-1404-01A	0.002244933	0.013681028	0.104037656	0.019444936	0.027563129	0.000100675	4.69E-10	0.832927644
TCGA-13-1405-01A	0.000122481	0.005860703	0.16437219	0.027904855	0.032796389	0.000201699	2.79E-09	0.768741679
TCGA-13-1407-01A	0.00024064	0.009670978	0.115014427	0.012468217	0.01793353	0.000202256	6.03E-09	0.844469946
TCGA-13-1408-01A	0.005802922	0.010453173	0.188709231	0.131170305	0.039897249	0.000855764	7.40E-09	0.623111347
TCGA-13-1409-01A	0.000327846	0.005509726	0.212440918	0.012115238	0.030164833	0.000585581	1.17E-09	0.738855858
TCGA-13-1410-01A	7.80E-05	0.004589647	0.189598966	0.01734539	0.029676891	0.001323736	2.17E-10	0.757387383
TCGA-13-1411-01A	0.002540105	0.006649428	0.201501496	0.126444889	0.06301824	1.84E-05	8.34E-09	0.599827408
TCGA-13-1477-01A	0.000416932	0.011102016	0.137182425	0.00220373	0.012459329	6.06E-05	3.15E-09	0.836574958
TCGA-13-1483-01A	0.000831747	0.017078902	0.208630914	0.007678906	0.027845979	6.22E-05	1.47E-08	0.737871307
TCGA-13-1485-01A	1.00E-05	0.005079569	0.142330902	0.009354944	0.018807673	0.000202183	1.45E-09	0.824214727
TCGA-13-1487-01A	0.001146923	0.004691519	0.120365085	0.005654786	0.014776043	3.90E-05	3.28E-09	0.85332665
TCGA-13-1488-01A	0.000553804	0.011411337	0.113111913	0.017645786	0.026198084	4.42E-05	1.84E-09	0.831034884
TCGA-13-1489-01A	0.001601922	0.017232255	0.23551236	0.012797006	0.040007255	8.55E-05	9.96E-10	0.692763723
